song_name,artist_name,artist_id,genre,album_name,date_released,date_added
Only Pain,Gojira,0GDGKpJFhVpcjIGF8N6Ewt,"metal, progressive metal, groove metal, death metal, djent",Magma,2016-06-17,2023-06-12T14:27:59Z
Born For One Thing,Gojira,0GDGKpJFhVpcjIGF8N6Ewt,"metal, progressive metal, groove metal, death metal, djent",Fortitude,2021-04-30,2023-06-12T14:28:14Z
The Heaviest Matter of the Universe,Gojira,0GDGKpJFhVpcjIGF8N6Ewt,"metal, progressive metal, groove metal, death metal, djent",From Mars to Sirius,2005-09-07,2023-06-12T14:28:18Z
Flying Whales,Gojira,0GDGKpJFhVpcjIGF8N6Ewt,"metal, progressive metal, groove metal, death metal, djent",From Mars to Sirius,2005-09-07,2023-06-12T14:28:23Z
Stranded,Gojira,0GDGKpJFhVpcjIGF8N6Ewt,"metal, progressive metal, groove metal, death metal, djent",Magma,2016-06-17,2023-06-12T14:28:33Z
Of the Abyss,Lorna Shore,6vXYoy8ouRVib302zxaxFF,"deathcore, death metal, metal, metalcore",...And I Return To Nothingness - EP,2021-08-13,2023-06-12T14:29:42Z
Into the Earth,Lorna Shore,6vXYoy8ouRVib302zxaxFF,"deathcore, death metal, metal, metalcore",Into the Earth,2022-06-22,2023-06-12T14:29:46Z
Sun//Eater,Lorna Shore,6vXYoy8ouRVib302zxaxFF,"deathcore, death metal, metal, metalcore",Sun//Eater,2022-05-13,2023-06-12T14:29:50Z
To the Hellfire,Lorna Shore,6vXYoy8ouRVib302zxaxFF,"deathcore, death metal, metal, metalcore",To the Hellfire,2021-06-11,2023-06-12T14:29:57Z
Rational Gaze,Meshuggah,3ggwAqZD3lyT2sbovlmfQY,"djent, progressive metal, groove metal, metal, death metal",Nothing,2002-09-16,2023-06-12T14:30:12Z
ObZen,Meshuggah,3ggwAqZD3lyT2sbovlmfQY,"djent, progressive metal, groove metal, metal, death metal",ObZen,2008-03-07,2023-06-12T14:30:19Z
Bleed,Meshuggah,3ggwAqZD3lyT2sbovlmfQY,"djent, progressive metal, groove metal, metal, death metal",ObZen,2008-03-07,2023-06-12T14:30:25Z
Childchewer,Infant Annihilator,6eSSPyqys0J4j0kdi3hFrR,"deathcore, death metal, metal, grindcore",The Battle of Yaldabaoth,2019-09-11,2023-06-12T14:30:42Z
Soil the Stillborn,Infant Annihilator,6eSSPyqys0J4j0kdi3hFrR,"deathcore, death metal, metal, grindcore",The Elysian Grandeval Galèriarch,2016-07-29,2023-06-12T14:30:49Z
Mein Teil,Rammstein,6wWVKhxIU2cEi0K81v7HvP,"industrial metal, metal, industrial rock, industrial","Reise, Reise",2004-09-27,2023-06-12T14:31:17Z
Sonne,Rammstein,6wWVKhxIU2cEi0K81v7HvP,"industrial metal, metal, industrial rock, industrial",Mutter,2001-04-02,2023-06-12T14:31:24Z
My Curse,Killswitch Engage,37394IP6uhnjIpsawpMu4l,"metalcore, metal",As Daylight Dies (Special Edition),2007-02-06,2023-06-12T14:31:35Z
For You,Killswitch Engage,37394IP6uhnjIpsawpMu4l,"metalcore, metal",As Daylight Dies (Special Edition),2007-02-06,2023-06-12T14:31:42Z
Silvera,Gojira,0GDGKpJFhVpcjIGF8N6Ewt,"metal, progressive metal, groove metal, death metal, djent",Magma,2016-06-17,2023-06-12T14:32:00Z
Custer - Live,Slipknot,05fG473iIaoy82BF1aGhL8,"nu metal, metal, alternative metal, rap metal, heavy metal",Day Of The Gusano (Live),2017-10-20,2023-06-12T14:33:18Z
Blood and Thunder,Mastodon,1Dvfqq39HxvCJ3GvfeIFuT,"progressive metal, sludge metal, stoner rock, metal, groove metal",Leviathan,2004-08-31,2023-06-12T14:33:47Z
God = Dog,Behemoth,1MK0sGeyTNkbefYGj673e9,"black metal, death metal, metal",I Loved You at Your Darkest,2018-10-05,2023-06-12T14:35:16Z
Bartzabel,Behemoth,1MK0sGeyTNkbefYGj673e9,"black metal, death metal, metal",I Loved You at Your Darkest,2018-10-05,2023-06-12T14:35:23Z
Blow Your Trumpets Gabriel,Behemoth,1MK0sGeyTNkbefYGj673e9,"black metal, death metal, metal",The Satanist,2014-02-07,2023-06-12T14:35:29Z
The Satanist,Behemoth,1MK0sGeyTNkbefYGj673e9,"black metal, death metal, metal",The Satanist,2014-02-07,2023-06-12T14:35:36Z
O Father O Satan O Sun!,Behemoth,1MK0sGeyTNkbefYGj673e9,"black metal, death metal, metal",The Satanist,2014-02-07,2023-06-12T14:35:44Z
Chop Suey!,System Of A Down,5eAWCfyUhZtHHtBdNk56l1,"nu metal, metal, alternative metal, rap metal, rock",Toxicity,2001-09-04,2023-07-04T12:42:22Z
B.Y.O.B.,System Of A Down,5eAWCfyUhZtHHtBdNk56l1,"nu metal, metal, alternative metal, rap metal, rock",Mezmerize,2005-05-17,2023-07-04T12:42:25Z
Violent Pornography,System Of A Down,5eAWCfyUhZtHHtBdNk56l1,"nu metal, metal, alternative metal, rap metal, rock",Mezmerize,2005-05-17,2023-07-04T12:42:29Z
Aerials,System Of A Down,5eAWCfyUhZtHHtBdNk56l1,"nu metal, metal, alternative metal, rap metal, rock",Toxicity,2001-09-04,2023-07-04T12:42:49Z
Hail to the King,Avenged Sevenfold,0nmQIMXWTXfhgOBdNzhGOs,"metal, alternative metal, heavy metal",Hail to the King,2013-08-23,2023-07-04T12:43:42Z
Shepherd of Fire,Avenged Sevenfold,0nmQIMXWTXfhgOBdNzhGOs,"metal, alternative metal, heavy metal",Hail to the King,2013-08-23,2023-07-04T12:43:46Z
Unholy Confessions,Avenged Sevenfold,0nmQIMXWTXfhgOBdNzhGOs,"metal, alternative metal, heavy metal",Waking The Fallen,2003-08-26,2023-07-04T12:43:59Z
Walk,Pantera,14pVkFUHDL207LzLHtSA18,"groove metal, metal, thrash metal, heavy metal",Vulgar Display of Power,1992-02-21,2023-08-11T14:33:07Z
Cowboys from Hell,Pantera,14pVkFUHDL207LzLHtSA18,"groove metal, metal, thrash metal, heavy metal",Cowboys from Hell,1990-07-20,2023-08-11T14:36:09Z
WWE: The Game (Triple H),WWE,0spHbv2fw49lDMkbOAdaqX,Unknown,WWE: The Game (Triple H),2011-06-01,2024-08-05T19:46:36Z
